Week,Stored Energy Value 2018 [MWh]
Week 1,10037000
Week 2,9373000
Week 3,8726000
Week 4,8153000
Week 5,7496000
Week 6,6767000
Week 7,6044000
Week 8,5318000
Week 9,4530000
Week 10,3852000
Week 11,3276000
Week 12,2755000
Week 13,2251000
Week 14,1882000
Week 15,1521000,
Week 16,1504000
Week 17,2344000
Week 18,3653000
Week 19,7040000
Week 20,9776000
Week 21,10725000
Week 22,11237000
Week 23,11220000
Week 24,11252000
Week 25,11539000
Week 26,11499000
Week 27,11295000
Week 28,11083000
Week 29,10905000
Week 30,10780000
Week 31,10759000
Week 32,10821000
Week 33,10907000
Week 34,11051000
Week 35,10997000
Week 36,10731000
Week 37,10701000
Week 38,11078000
Week 39,11842000
Week 40,12052000
Week 41,12353000
Week 42,12519000
Week 43,12481000
Week 44,12331000
Week 45,12193000
Week 46,12431000
Week 47,12039000
Week 48,11516000
Week 49,11071000
Week 50,10393000
Week 51,9719000
Week 52,9272000
