node,Hydro_cap_min,Hydro_cap_max,HydroRoR,Min_Hyd_Level,Max_Hyd_Level
1,0.0,0.0,3149.0,202125.0,768075.0
2,26819.0,26819.0,1328.0,7578508.0,28798331.0
3,15949.0,15949.0,0.0,4045250.0,15371950.0
4,0.0,0.0,6.0,0.0,0.0
5,8578.0,8578.0,11222.0,1045750.0,3973850.0
6,1451.0,1451.0,4102.0,343325.0,1304635.0
7,0.0,0.0,216.0,783750.0,2978250.0
8,13941.0,13941.0,16659.0,4627750.0,17585450.0
9,157.0,157.0,2130.0,138000.0,524400.0
10,20640.0,20640.0,3990.0,4280750.0,16266850.0
11,13392.0,13392.0,10391.0,5369750.0,20405050.0
