node,gen_tech,gcap_min,gcap_max
1,1,0,121399.00036220612
1,2,0,48821.70069796777
1,3,0,84712.72716754394
1,4,0,1.0e9
1,5,0,1.0e9
1,6,0,1.0e9
1,7,0,1.0e9
1,8,0,1.0e9
2,1,0,131675.66087237297
2,2,0,25178.70918157748
2,3,0,772371.6399116128
2,4,0,1.0e9
2,5,0,1.0e9
2,6,0,1.0e9
2,7,0,1.0e9
2,8,0,1.0e9
3,1,0,191799.90672809977
3,2,0,74202.2159597053
3,3,0,344968.7276062701
3,4,0,1.0e9
3,5,0,1.0e9
3,6,0,1.0e9
3,7,0,1.0e9
3,8,0,1.0e9
4,1,0,12756.862789273926
4,2,0,97301.18152042116
4,3,0,111811.384391086
4,4,0,1.0e9
4,5,0,1.0e9
4,6,0,1.0e9
4,7,0,1.0e9
4,8,0,1.0e9
5,1,0,164307.64088776207
5,2,0,45080.71762874369
5,3,0,1.4388756841041904e6
5,4,0,1.0e9
5,5,0,1.0e9
5,6,0,1.0e9
5,7,0,1.0e9
5,8,0,1.0e9
6,1,0,90004.65831638455
6,2,0,38196.723340667624
6,3,0,763137.8890219042
6,4,0,1.0e9
6,5,0,1.0e9
6,6,0,1.0e9
6,7,0,1.0e9
6,8,0,1.0e9
7,1,0,67137.64325763074
7,2,0,147648.5956405281
7,3,0,623537.9484022175
7,4,0,1.0e9
7,5,0,1.0e9
7,6,0,1.0e9
7,7,0,1.0e9
7,8,0,1.0e9
8,1,0,130742.44830414634
8,2,0,17111.35179811657
8,3,0,1.0916167316152418e6
8,4,0,1.0e9
8,5,0,1.0e9
8,6,0,1.0e9
8,7,0,1.0e9
8,8,0,1.0e9
9,1,0,97809.08431039719
9,2,0,14971.782376528594
9,3,0,795795.2711826011
9,4,0,1.0e9
9,5,0,1.0e9
9,6,0,1.0e9
9,7,0,1.0e9
9,8,0,1.0e9
10,1,0,63435.48202472345
10,2,0,43149.07440962861
10,3,0,561529.8852034536
10,4,0,1.0e9
10,5,0,1.0e9
10,6,0,1.0e9
10,7,0,1.0e9
10,8,0,1.0e9
