node,HydroRoR,Fmin,hyd_in_avg,hydror_avg,hyd_flow_min
1,3198.0000000000005,0.05,0.0,1887.8995433789955,2881
2,1197.2569032522006,0.05,15246.053716711911,621.526191963882,5089
3,0.0,0.05,8439.155251141556,0.0,5089
4,0.0,0.05,0.0,0.0,1
5,16946.61644216082,0.05,2176.4290728266446,4364.666817584316,5089
6,10263.249557522122,0.05,247.06345135851734,2549.055270102669,5089
7,4443.000000000003,0.05,0.0,987.2146118721472,4345
8,4865.831373607309,0.05,2696.171919683009,957.9376693580882,5089
9,2196.2381551362682,0.05,17.742023491571178,251.77852445363428,5089
10,17480.51767676767,0.05,1027.1950022485125,4081.366641587104,5089
