node,gen_tech,gcap_min,gcap_max(GW)
1,1,0,457631.4307520063
1,2,0,245503.8073596523
1,3,0,1.3138644790765715e6
1,4,0,1.0e9
1,5,0,1.0e9
1,6,0,1.0e9
1,7,0,1.0e9
1,8,0,1.0e9
2,1,0,291781.19852747046
2,2,0,77691.07366098181
2,3,0,2.2253957894441625e6
2,4,0,1.0e9
2,5,0,1.0e9
2,6,0,1.0e9
2,7,0,1.0e9
2,8,0,1.0e9
3,1,0,265667.14064706356
3,2,0,297985.8401269404
3,3,0,2.421408172546682e6
3,4,0,1.0e9
3,5,0,1.0e9
3,6,0,1.0e9
3,7,0,1.0e9
3,8,0,1.0e9
4,1,0,147378.35919813032
4,2,0,38256.47749972241
4,3,0,1.1550621984791819e6
4,4,0,1.0e9
4,5,0,1.0e9
4,6,0,1.0e9
4,7,0,1.0e9
4,8,0,1.0e9
5,1,0,195575.15574056862
5,2,0,62520.747626739736
5,3,0,1.499226777146606e6
5,4,0,1.0e9
5,5,0,1.0e9
5,6,0,1.0e9
5,7,0,1.0e9
5,8,0,1.0e9
