L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,"[1, 2]",1665,400,150000,0.02,0,1,0.95,40,0,100000
2,"[1, 3]",1071,400,150000,0.02,0,1,0.95,40,0,100000
3,"[2, 3]",669,400,150000,0.02,0,1,0.95,40,0,100000
4,"[2, 4]",561,400,150000,0.02,0,1,0.95,40,0,100000
5,"[2, 6]",1093,400,150000,0.02,0,1,0.95,40,0,100000
6,"[2, 7]",1617,400,150000,0.02,0,1,0.95,40,0,100000
7,"[3, 4]",623,400,150000,0.02,0,1,0.95,40,0,100000
8,"[3, 6]",1175,400,150000,0.02,0,1,0.95,40,0,100000
9,"[4, 6]",595,400,150000,0.02,0,1,0.95,40,0,100000
10,"[4, 7]",1484,400,150000,0.02,0,1,0.95,40,0,100000
11,"[5, 6]",748,400,150000,0.02,0,1,0.95,40,0,100000
12,"[5, 7]",817,400,150000,0.02,0,1,0.95,40,0,100000
13,"[5, 10]",1124,400,150000,0.02,0,1,0.95,40,0,100000
14,"[6, 7]",1175,400,150000,0.02,0,1,0.95,40,0,100000
15,"[7, 10]",1451,400,150000,0.02,0,1,0.95,40,0,100000
